title,id,url
Bio2RDF::Taxonomy,bio2rdf-taxonomy,http://taxonomy.bio2rdf.org/
Bio2RDF::Clinicaltrials,bio2rdf-clinicaltrials,http://clinicaltrials.bio2rdf.org/
Medicinal products marketed in Czech Republic,cz-sidc-drugs,http://linked.opendata.cz/resource/dataset/sukl/drugs
ATC groups,cz-eh-1-atc,https://bioportal.bioontology.org/ontologies/ATC
Spatial Ontology,bioportal-bspo,https://bioportal.bioontology.org/ontologies/BSPO
Non Randomized Controlled Trials Ontology,bioportal-nonrctontology,https://bioportal.bioontology.org/ontologies/NONRCTO
OBOE,bioportal-oboe,https://bioportal.bioontology.org/ontologies/OBOE
Plant Growth and Development Stage,bioportal-po_x1,https://bioportal.bioontology.org/ontologies/PSDS
Randomized Controlled Trials (RCT) Ontology,bioportal-rctontology,https://bioportal.bioontology.org/ontologies/RCTONT
UniProt,uniprot,http://www.uniprot.org/
Fungal gross anatomy,bioportal-fao,https://bioportal.bioontology.org/ontologies/FAO
BioSamples RDF,biosamples-rdf,
Gene Expression Atlas RDF,gene-expression-atlas-rdf,
Dictyostelium discoideum anatomy,bioportal-ddanat,https://bioportal.bioontology.org/ontologies/DDANAT
Diagnostic Ontology,bioportal-diagnosticont,https://bioportal.bioontology.org/ontologies/DIAGONT
Foundational Model of Anatomy,bioportal-fma,https://bioportal.bioontology.org/ontologies/FMA
HITO,hito0000018da2a543a7,https://hitontology.eu/
SNIK,snik,https://www.snik.eu
PGxLOD,PGxLOD,https://pgxlod.loria.fr/
Bio2RDF::Pharmgkb,bio2rdf-pharmgkb,http://pharmgkb.bio2rdf.org/
Bio2RDF::Mesh,bio2rdf-mesh,http://mesh.bio2rdf.org/
eagle-i @ Hunter College,eagle-i-hunter-cuny,http://hunter-cuny.eagle-i.net
ISSA Agritrop Dataset,issa-agritrop,https://github.com/issa-project/issa-pipeline
AGROVOC,agrovoc,http://www.fao.org/agrovoc/
Bio2RDF::Drugbank,bio2rdf-drugbank,http://drugbank.bio2rdf.org/
Bio2RDF::Hgnc,bio2rdf-hgnc,http://hgnc.bio2rdf.org/
Bio2RDF::Ndc,bio2rdf-ndc,http://ndc.bio2rdf.org/
GeoSpecies Ontology,bioportal-geospecies,https://bioportal.bioontology.org/ontologies/GEOSPECIES
Wheat trait,bioportal-co_wheat,https://bioportal.bioontology.org/ontologies/CO-WHEAT
Smoking Behavior Risk Ontology,bioportal-sbro,http://bioportal.bioontology.org/ontologies/1249
Terminology for the Description of Dynamics,bioportal-teddy,https://bioportal.bioontology.org/ontologies/TEDDY
C. elegans phenotype,bioportal-wbphenotype,https://bioportal.bioontology.org/ontologies/WB-PHENOTYPE
Orthology and Diseases Information - OGO,ogolod,http://miuras.inf.um.es/~ogo/ogolod.html
Bio2RDF::Omim,bio2rdf-omim,http://omim.bio2rdf.org/
ChEMBL RDF,chembl-rdf,None
UniProtKB,uniprotkb,https://www.uniprot.org/uniprot/
Linked Open Data of Ecology,linked-open-data-of-ecology,http://ecowlim.tfri.gov.tw/lode
GeoSpecies Knowledge Base,geospecies,http://lod.geospecies.org/
bio2rdf-omim-resources,bio2rdf-omim-resources,None
DailyMed,fu-berlin-dailymed,http://www4.wiwiss.fu-berlin.de/dailymed/
Diseasome,fu-berlin-diseasome,http://www4.wiwiss.fu-berlin.de/diseasome/
DrugBank,fu-berlin-drugbank,http://www4.wiwiss.fu-berlin.de/drugbank/
TCMGeneDIT Dataset,tcmgenedit_dataset,http://code.google.com/p/junsbriefcase/wiki/TGDdataset
Amphibian taxonomy,bioportal-ato,https://bioportal.bioontology.org/ontologies/ATO
Taxonomic rank vocabulary,bioportal-taxrank,https://bioportal.bioontology.org/ontologies/TAXRANK
Bio2RDF::Sider,bio2rdf-sider,http://sider.bio2rdf.org/
eagle-i @ Dartmouth College,eagle-i-dartmouth,http://dartmouth.eagle-i.net
Bio2RDF::Chembl,bio2rdf-chembl,http://chembl.bio2rdf.org/
Naturopathy knowledge Graph (Ontology and Dataset) - RDF distribution of the naturopathy dataset.,http:sensormeasurement.appspot.comdatasetnaturopathy-dataset,
eagle-i@ University of Puerto Rico - Medical Sciences Campus,eagle-i-upr,http://upr.eagle-i.net
eagle-i @ Montana State University,eagle-i-montana,http://montana.eagle-i.net
eagle-i @ University of Hawai’i at M?noa,eagle-i-hawaii,http://hawaii.eagle-i.net
neXtProt,nextprot,https://www.nextprot.org/
UniProt,UniProt,https://www.uniprot.org/
Bio2RDF::Orphanet,bio2rdf-orphanet,http://orphanet.bio2rdf.org/
eagle-i @ Jackson State University,eagle-i-jsu,http://jsu.eagle-i.net
Bio2RDF::Biomodels,bio2rdf-biomodels,http://biomodels.bio2rdf.org/
Bio2RDF::Interpro,bio2rdf-interpro,http://interpro.bio2rdf.org/
Drosophila development,bioportal-fbdv,https://bioportal.bioontology.org/ontologies/FB-DV
C. elegans development,bioportal-wbls,https://bioportal.bioontology.org/ontologies/WB-LS
Taiwan Fauna Database Research: Taiwan Digital Fish Species Database (AS-TFD-Fish-Species),ASCDC-AS-TFD-Fish-Species,https://data.ascdc.tw/en/data.php
eagle-i @ Tuskegee University,eagle-i-tuskegee,http://tuskegee.eagle-i.net
eagle-i @ Florida Agricultural and Mechanical University,eagle-i-famu,http://famu.eagle-i.net
European Nature Information System,eunis,http://eunis.eea.europa.eu
Bio2RDF::Dbsnp,bio2rdf-dbsnp,http://dbsnp.bio2rdf.org/
Bio2RDF::Mgi,bio2rdf-mgi,http://mgi.bio2rdf.org/
Covid-on-the-Web Dataset,Covid-on-the-Web,https://github.com/Wimmics/CovidOnTheWeb
Chem2Bio2RDF,chem2bio2rdf,http://chem2bio2rdf.org
bio2rdf-taxon,bio2rdf-taxon,None
University of Plymouth Reading Lists,university-plymouth-reading-lists,http://lists.lib.plymouth.ac.uk/
SIDER: Side Effect Resource,fu-berlin-sider,http://www4.wiwiss.fu-berlin.de/sider/
chemdb phase transition dataset,chemdb-phaseTransition,http://chemdc.casdc.cn/
Transcription profiling of rat bladder after inoculation with bladder cancer cells,arrayexpress_e-mtab-104,
thesaurus,bioportal-thesaurus,http://bioportal.bioontology.org/ontologies/3034
Catalogue of Life in China 2003 Edition,CoLChina_sp20000000019348ff2263,http://semweb.csdb.cn/ioz
Taxons,sandre,http://sandre.eaufrance.fr/
Linked Life Data,linked-life-data,http://linkedlifedata.com/
eagle-i @ Clark Atlanta University,eagle-i-cau,http://cau.eagle-i.net/
DisGeNET,disgenet,https://maayanlab.cloud/Harmonizome/dataset/DisGeNET+Gene-Disease+Associations
eagle-i @ Charles R. Drew University,eagle-i-cdrewu,http://cdrewu.eagle-i.net
Naturopathy Knowledge Graph (Ontology and Dataset) - RDF distribution of the naturopathy dataset.,Naturopathy,http://sensormeasurement.appspot.com/dataset/naturopathy-dataset
eagle-i @ The City College of New York,eagle-i-ccny-cuny,http://ccny-cuny.eagle-i.net
eagle-i @ Oregon Health and Science University,eagle-i-ohsu,http://ohsu.eagle-i.net
Comprehensive Knowledge Archive Network,ckan,http://www.ckan.net/
TaxonConcept Knowledge Base,taxonconcept,http://lod.taxonconcept.org/
Entrez Gene,entrez_gene,http://www.ncbi.nlm.nih.gov/gene
Bio2RDF::Lsr,bio2rdf-lsr,http://lsr.bio2rdf.org/
eagle-i @ Vanderbilt University,eagle-i-vanderbilt,http://eagle-i.ea.vanderbilt.edu
EPA-SRS,epa-srs,https://opendata.epa.gov
digitized plant specimen,plant-specimen,http://semweb.csdb.cn/plant
STITCH: Chemical-Protein Interactions,fu-berlin-stitch,http://www4.wiwiss.fu-berlin.de/stitch/
BioModels RDF,biomodels-rdf,None
Bio2RDF::Genage,bio2rdf-genage,http://genage.bio2rdf.org/
eagle-i @ Morehouse School of Medicine,eagle-i-msm,http://msm.eagle-i.net
Bio2RDF::Affymetrix,bio2rdf-affymetrix0000018ec34a360f,http://affymetrix.bio2rdf.org/
Bio2RDF::Wormbase,bio2rdf-wormbase,http://wormbase.bio2rdf.org/
Traditional Korean Medicine Ontology,traditional-korean-medicine,http://tkm.kiom.re.kr
TAXREF-LD: Knowledge Graph of the French taxonomic registery,taxref-ld,https://github.com/frmichel/taxref-ld/
EPA-CDR,epa-cdr,https://opendata.epa.gov
ENTICE Educational Episodes Knowledge Graph,entice-graph,https://data.entice.eu/
eagle-i @ University of Texas at San Antonio,eagle-i-utsa,http://utsa.eagle-i.net
eagle-i @ Howard University,eagle-i-howard,http://howard.eagle-i.net
